law_id,type,title,kana,effective_date
211M10000040020,府省令,国の会計帳簿及び書類の様式等に関する省令,くにのかいけいちょうぼおよびしょるいのようしきとうにかんするしょうれい,令和七年四月一日
211M10000040031,府省令,国債規則,こくさいきそく,令和八年四月一日
211M10000040032,府省令,日本銀行国債事務取扱規程,にほんぎんこうこくさいじむとりあつかいきてい,令和七年四月一日
211M10000040043,府省令,大正十一年大蔵省令第四十三号（会計法規ニ基ク出納計算ノ数字及記載事項ノ訂正ニ関スル件）,かいけいほうきにもとづくすいとうけいさんのすうじおよびきさいじこうのていせいにかんするけん,令和三年一月一日
211M10001000045,府省令,大正十一年逓信省令第四十五号（船舶満載吃水線証書互認ノ件ニ関シ帝国政府ト独逸国政府トノ間ニ取極ヲ為シタル条規）,せんぱくまんさいきっすいせんしょうしょごにんのけんにかんしていこくせいふとどいつこくせいふとのあいだにとりきめをなしたるじょうき,大正十一年八月一日
211M10001000056,府省令,大正十一年逓信省令第五十六号（船舶積量互認ノ件ニ関シ帝国政府ト丁抹国政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとでんまーくこくせいふとのあいだにとりきめをなしたるじょうき,大正十一年十月一日
212AC0000000048,法律,恩給法,おんきゅうほう,令和七年六月一日
212AC0000000050,法律,陪審法,ばいしんほう,令和五年四月一日
212IO0000000299,勅令,大正十二年勅令第二百九十九号（政府ニ於テ物品ノ販売ヲ問屋業者ニ委託スルコトヲ得ル場合ニ関スル件）,せいふにおいてぶっぴんのはんばいをとんやぎょうしゃにいたくすることをえるばあいにかんするけん,昭和十四年十一月十一日
212IO0000000369,勅令,恩給給与規則,おんきゅうきゅうよきそく,令和七年六月一日
212IO0000000439,勅令,恩給金額分担及国庫納金収入等取扱規則,おんきゅうきんがくぶんたんきゅうこっこのうきんしゅうにゅうとうとりあつかいきそく,昭和二十七年三月三十一日
212IO0000000528,勅令,大正十二年勅令第五百二十八号（司法警察官吏及司法警察官吏ノ職務ヲ行フヘキ者ノ指定等ニ関スル件）,しほうけいさつかんりおよびしほうけいさつかんりのしょくむをおこなうへきもののしていとうにかんするけん,昭和二十三年八月一日
212M10000008045,府省令,専用軌道規則,せんようきどうきそく,令和四年四月一日
212M10000040030,府省令,恩給金額分担及国庫納金収入等事務取扱細則,おんきゅうきんがくぶんたんきゅうこっこのうきんしゅうにゅうとうじむとりあつかいさいそく,平成元年四月六日
212M10000800004,府省令,軌道運輸規程,きどううんゆきてい,令和五年十月十五日
212M10000800006,府省令,軌道係員規程,きどうかかりいんきてい,昭和六十二年三月二十七日
212M10000808000,府省令,軌道法施行規則,きどうほうしこうきそく,令和六年四月一日
212M10000808001,府省令,軌道建設規程,きどうけんせつきてい,令和四年四月一日
